,YEAR,MONTH,DISTRICT,PRECTOT
138,1992,7,Arghakhanchi,191.76
139,1992,8,Arghakhanchi,210.4
140,1992,9,Arghakhanchi,129.01
141,1992,10,Arghakhanchi,85.16
142,1992,11,Arghakhanchi,2.35
143,1992,12,Arghakhanchi,0.13
144,1993,1,Arghakhanchi,4.89
145,1993,2,Arghakhanchi,3.37
146,1993,3,Arghakhanchi,34.58
147,1993,4,Arghakhanchi,11.29
148,1993,5,Arghakhanchi,24.98
149,1993,6,Arghakhanchi,144.28
150,1993,7,Arghakhanchi,171.67
151,1993,8,Arghakhanchi,139.84
152,1993,9,Arghakhanchi,151.66
153,1993,10,Arghakhanchi,1.48
154,1993,11,Arghakhanchi,0.38
155,1993,12,Arghakhanchi,0.0
156,1994,1,Arghakhanchi,22.35
157,1994,2,Arghakhanchi,9.05
158,1994,3,Arghakhanchi,1.9
159,1994,4,Arghakhanchi,3.34
160,1994,5,Arghakhanchi,6.15
161,1994,6,Arghakhanchi,113.07
162,1994,7,Arghakhanchi,240.29
163,1994,8,Arghakhanchi,125.37
164,1994,9,Arghakhanchi,157.56
165,1994,10,Arghakhanchi,5.57
166,1994,11,Arghakhanchi,0.12
167,1994,12,Arghakhanchi,0.0
168,1995,1,Arghakhanchi,14.24
169,1995,2,Arghakhanchi,13.89
170,1995,3,Arghakhanchi,3.67
171,1995,4,Arghakhanchi,2.9
172,1995,5,Arghakhanchi,6.62
173,1995,6,Arghakhanchi,148.82
174,1995,7,Arghakhanchi,198.24
175,1995,8,Arghakhanchi,237.24
176,1995,9,Arghakhanchi,78.81
177,1995,10,Arghakhanchi,3.29
178,1995,11,Arghakhanchi,38.77
179,1995,12,Arghakhanchi,4.78
180,1996,1,Arghakhanchi,47.85
181,1996,2,Arghakhanchi,29.94
182,1996,3,Arghakhanchi,1.41
183,1996,4,Arghakhanchi,32.59
184,1996,5,Arghakhanchi,15.66
185,1996,6,Arghakhanchi,107.67
186,1996,7,Arghakhanchi,166.33
187,1996,8,Arghakhanchi,267.12
188,1996,9,Arghakhanchi,45.4
189,1996,10,Arghakhanchi,60.83
190,1996,11,Arghakhanchi,0.0
191,1996,12,Arghakhanchi,0.0
192,1997,1,Arghakhanchi,5.29
193,1997,2,Arghakhanchi,0.03
194,1997,3,Arghakhanchi,1.91
195,1997,4,Arghakhanchi,27.42
196,1997,5,Arghakhanchi,11.08
197,1997,6,Arghakhanchi,40.91
198,1997,7,Arghakhanchi,124.14
199,1997,8,Arghakhanchi,116.01
200,1997,9,Arghakhanchi,61.39
201,1997,10,Arghakhanchi,11.66
202,1997,11,Arghakhanchi,4.05
203,1997,12,Arghakhanchi,27.69
204,1998,1,Arghakhanchi,3.37
205,1998,2,Arghakhanchi,4.58
206,1998,3,Arghakhanchi,19.59
207,1998,4,Arghakhanchi,16.95
208,1998,5,Arghakhanchi,16.01
209,1998,6,Arghakhanchi,53.97
210,1998,7,Arghakhanchi,320.18
211,1998,8,Arghakhanchi,327.0
212,1998,9,Arghakhanchi,89.72
213,1998,10,Arghakhanchi,58.01
214,1998,11,Arghakhanchi,1.74
215,1998,12,Arghakhanchi,0.0
216,1999,1,Arghakhanchi,13.32
217,1999,2,Arghakhanchi,1.55
218,1999,3,Arghakhanchi,0.09
219,1999,4,Arghakhanchi,4.41
220,1999,5,Arghakhanchi,47.87
221,1999,6,Arghakhanchi,69.86
222,1999,7,Arghakhanchi,102.91
223,1999,8,Arghakhanchi,155.62
224,1999,9,Arghakhanchi,46.7
225,1999,10,Arghakhanchi,64.71
226,1999,11,Arghakhanchi,0.0
227,1999,12,Arghakhanchi,0.81
228,2000,1,Arghakhanchi,3.47
229,2000,2,Arghakhanchi,5.02
230,2000,3,Arghakhanchi,1.3
231,2000,4,Arghakhanchi,1.1
232,2000,5,Arghakhanchi,65.49
233,2000,6,Arghakhanchi,159.28
234,2000,7,Arghakhanchi,220.04
235,2000,8,Arghakhanchi,294.4
236,2000,9,Arghakhanchi,148.9
237,2000,10,Arghakhanchi,0.5
238,2000,11,Arghakhanchi,3.9
239,2000,12,Arghakhanchi,0.18
240,2001,1,Arghakhanchi,0.11
241,2001,2,Arghakhanchi,0.39
242,2001,3,Arghakhanchi,5.75
243,2001,4,Arghakhanchi,9.77
244,2001,5,Arghakhanchi,55.24
245,2001,6,Arghakhanchi,114.89
246,2001,7,Arghakhanchi,162.3
247,2001,8,Arghakhanchi,203.49
248,2001,9,Arghakhanchi,187.56
249,2001,10,Arghakhanchi,44.5
250,2001,11,Arghakhanchi,1.84
251,2001,12,Arghakhanchi,0.0
252,2002,1,Arghakhanchi,15.52
253,2002,2,Arghakhanchi,17.97
254,2002,3,Arghakhanchi,4.48
255,2002,4,Arghakhanchi,0.44
256,2002,5,Arghakhanchi,35.33
257,2002,6,Arghakhanchi,70.39
258,2002,7,Arghakhanchi,125.96
