,YEAR,MONTH,DISTRICT,PRECTOT
7922,2017,3,Dolkha,31.3
7923,2017,4,Dolkha,33.0
7924,2017,5,Dolkha,91.86
7925,2017,6,Dolkha,93.74
7926,2017,7,Dolkha,201.96
7927,2017,8,Dolkha,247.04
7928,2017,9,Dolkha,99.38
7929,2017,10,Dolkha,45.09
7930,2017,11,Dolkha,0.22
7931,2017,12,Dolkha,0.0
7932,2018,1,Dolkha,0.02
7933,2018,2,Dolkha,0.05
7934,2018,3,Dolkha,0.28
7935,2018,4,Dolkha,2.18
7936,2018,5,Dolkha,2.86
7937,2018,6,Dolkha,2.94
7938,2018,7,Dolkha,7.83
7939,2018,8,Dolkha,7.58
7940,2018,9,Dolkha,1.58
7941,2018,10,Dolkha,0.24
7942,2018,11,Dolkha,0.01
7943,2018,12,Dolkha,0.09
7944,2019,1,Dolkha,0.1
7945,2019,2,Dolkha,1.1
7946,2019,3,Dolkha,0.44
7947,2019,4,Dolkha,1.81
7948,2019,5,Dolkha,1.5
7949,2019,6,Dolkha,1.82
7950,2019,7,Dolkha,8.42
7951,2019,8,Dolkha,5.28
7952,2019,9,Dolkha,6.73
7953,2019,10,Dolkha,0.21
7954,2019,11,Dolkha,0.4
7955,2019,12,Dolkha,0.44
7956,1981,1,Dolpa,69.03
7957,1981,2,Dolpa,7.97
7958,1981,3,Dolpa,41.27
7959,1981,4,Dolpa,29.81
7960,1981,5,Dolpa,86.13
7961,1981,6,Dolpa,89.53
7962,1981,7,Dolpa,299.83
7963,1981,8,Dolpa,154.42
7964,1981,9,Dolpa,89.43
7965,1981,10,Dolpa,6.06
7966,1981,11,Dolpa,28.51
7967,1981,12,Dolpa,4.22
7968,1982,1,Dolpa,56.79
7969,1982,2,Dolpa,25.77
7970,1982,3,Dolpa,28.31
7971,1982,4,Dolpa,7.03
7972,1982,5,Dolpa,15.08
7973,1982,6,Dolpa,52.65
7974,1982,7,Dolpa,103.8
7975,1982,8,Dolpa,153.56
7976,1982,9,Dolpa,75.24
7977,1982,10,Dolpa,2.17
7978,1982,11,Dolpa,4.15
7979,1982,12,Dolpa,12.63
7980,1983,1,Dolpa,3.74
7981,1983,2,Dolpa,5.2
7982,1983,3,Dolpa,14.82
7983,1983,4,Dolpa,39.3
7984,1983,5,Dolpa,18.32
7985,1983,6,Dolpa,69.1
7986,1983,7,Dolpa,78.67
7987,1983,8,Dolpa,122.35
7988,1983,9,Dolpa,239.94
7989,1983,10,Dolpa,74.2
7990,1983,11,Dolpa,0.0
7991,1983,12,Dolpa,14.11
7992,1984,1,Dolpa,6.15
7993,1984,2,Dolpa,42.73
7994,1984,3,Dolpa,5.37
7995,1984,4,Dolpa,10.01
7996,1984,5,Dolpa,15.23
7997,1984,6,Dolpa,138.65
7998,1984,7,Dolpa,119.22
7999,1984,8,Dolpa,107.32
8000,1984,9,Dolpa,79.69
8001,1984,10,Dolpa,14.22
8002,1984,11,Dolpa,0.27
8003,1984,12,Dolpa,10.66
8004,1985,1,Dolpa,62.33
8005,1985,2,Dolpa,1.24
8006,1985,3,Dolpa,0.85
8007,1985,4,Dolpa,17.67
8008,1985,5,Dolpa,38.13
8009,1985,6,Dolpa,82.92
8010,1985,7,Dolpa,113.74
8011,1985,8,Dolpa,104.61
8012,1985,9,Dolpa,120.5
8013,1985,10,Dolpa,71.35
8014,1985,11,Dolpa,0.0
8015,1985,12,Dolpa,19.39
8016,1986,1,Dolpa,1.54
8017,1986,2,Dolpa,15.21
8018,1986,3,Dolpa,12.39
8019,1986,4,Dolpa,17.32
8020,1986,5,Dolpa,22.14
8021,1986,6,Dolpa,87.01
8022,1986,7,Dolpa,238.89
8023,1986,8,Dolpa,127.58
8024,1986,9,Dolpa,84.39
8025,1986,10,Dolpa,15.7
8026,1986,11,Dolpa,0.33
8027,1986,12,Dolpa,27.82
8028,1987,1,Dolpa,6.54
8029,1987,2,Dolpa,7.84
8030,1987,3,Dolpa,3.84
8031,1987,4,Dolpa,9.71
8032,1987,5,Dolpa,52.34
8033,1987,6,Dolpa,14.9
8034,1987,7,Dolpa,90.89
8035,1987,8,Dolpa,127.24
8036,1987,9,Dolpa,43.17
8037,1987,10,Dolpa,40.29
8038,1987,11,Dolpa,0.0
8039,1987,12,Dolpa,14.44
8040,1988,1,Dolpa,61.02
8041,1988,2,Dolpa,14.82
8042,1988,3,Dolpa,30.39
8043,1988,4,Dolpa,13.54
8044,1988,5,Dolpa,24.69
8045,1988,6,Dolpa,64.34
8046,1988,7,Dolpa,285.2
8047,1988,8,Dolpa,184.56
8048,1988,9,Dolpa,21.4
8049,1988,10,Dolpa,3.38
8050,1988,11,Dolpa,0.0
8051,1988,12,Dolpa,11.18
8052,1989,1,Dolpa,29.71
8053,1989,2,Dolpa,6.87
8054,1989,3,Dolpa,10.55
8055,1989,4,Dolpa,2.94
8056,1989,5,Dolpa,18.74
8057,1989,6,Dolpa,65.95
8058,1989,7,Dolpa,122.2
8059,1989,8,Dolpa,82.86
8060,1989,9,Dolpa,36.23
8061,1989,10,Dolpa,3.3
8062,1989,11,Dolpa,3.11
8063,1989,12,Dolpa,4.88
8064,1990,1,Dolpa,1.68
8065,1990,2,Dolpa,41.75
8066,1990,3,Dolpa,9.43
8067,1990,4,Dolpa,16.13
8068,1990,5,Dolpa,31.43
8069,1990,6,Dolpa,52.35
8070,1990,7,Dolpa,171.19
8071,1990,8,Dolpa,114.07
8072,1990,9,Dolpa,57.79
8073,1990,10,Dolpa,3.28
8074,1990,11,Dolpa,0.3
8075,1990,12,Dolpa,8.74
8076,1991,1,Dolpa,2.59
8077,1991,2,Dolpa,4.83
8078,1991,3,Dolpa,40.37
8079,1991,4,Dolpa,3.83
8080,1991,5,Dolpa,19.84
8081,1991,6,Dolpa,23.9
8082,1991,7,Dolpa,61.06
8083,1991,8,Dolpa,87.64
8084,1991,9,Dolpa,49.99
8085,1991,10,Dolpa,0.59
8086,1991,11,Dolpa,1.21
8087,1991,12,Dolpa,30.08
8088,1992,1,Dolpa,2.87
8089,1992,2,Dolpa,1.52
8090,1992,3,Dolpa,5.32
8091,1992,4,Dolpa,0.62
8092,1992,5,Dolpa,15.48
8093,1992,6,Dolpa,77.09
8094,1992,7,Dolpa,101.27
8095,1992,8,Dolpa,107.37
8096,1992,9,Dolpa,68.04
8097,1992,10,Dolpa,43.56
8098,1992,11,Dolpa,2.8
8099,1992,12,Dolpa,0.05
8100,1993,1,Dolpa,9.24
8101,1993,2,Dolpa,4.64
8102,1993,3,Dolpa,29.59
8103,1993,4,Dolpa,4.51
8104,1993,5,Dolpa,18.93
8105,1993,6,Dolpa,77.18
8106,1993,7,Dolpa,51.33
8107,1993,8,Dolpa,43.55
8108,1993,9,Dolpa,51.16
8109,1993,10,Dolpa,0.55
8110,1993,11,Dolpa,0.07
8111,1993,12,Dolpa,0.07
8112,1994,1,Dolpa,13.86
8113,1994,2,Dolpa,12.64
8114,1994,3,Dolpa,1.93
8115,1994,4,Dolpa,5.89
8116,1994,5,Dolpa,9.6
8117,1994,6,Dolpa,34.22
8118,1994,7,Dolpa,100.14
8119,1994,8,Dolpa,77.61
8120,1994,9,Dolpa,48.33
8121,1994,10,Dolpa,0.83
8122,1994,11,Dolpa,0.0
8123,1994,12,Dolpa,0.0
8124,1995,1,Dolpa,13.95
8125,1995,2,Dolpa,22.95
8126,1995,3,Dolpa,7.36
8127,1995,4,Dolpa,4.55
8128,1995,5,Dolpa,4.09
8129,1995,6,Dolpa,61.94
8130,1995,7,Dolpa,84.28
8131,1995,8,Dolpa,110.05
8132,1995,9,Dolpa,20.79
8133,1995,10,Dolpa,3.1
8134,1995,11,Dolpa,22.01
8135,1995,12,Dolpa,1.65
8136,1996,1,Dolpa,22.46
8137,1996,2,Dolpa,34.23
8138,1996,3,Dolpa,13.75
8139,1996,4,Dolpa,17.67
8140,1996,5,Dolpa,12.92
8141,1996,6,Dolpa,40.81
8142,1996,7,Dolpa,70.29
8143,1996,8,Dolpa,96.92
8144,1996,9,Dolpa,31.04
8145,1996,10,Dolpa,20.95
8146,1996,11,Dolpa,0.0
8147,1996,12,Dolpa,0.0
8148,1997,1,Dolpa,5.76
8149,1997,2,Dolpa,0.04
8150,1997,3,Dolpa,1.44
8151,1997,4,Dolpa,24.13
8152,1997,5,Dolpa,5.27
8153,1997,6,Dolpa,31.23
8154,1997,7,Dolpa,81.47
8155,1997,8,Dolpa,51.4
8156,1997,9,Dolpa,20.39
8157,1997,10,Dolpa,2.27
8158,1997,11,Dolpa,1.95
8159,1997,12,Dolpa,45.22
8160,1998,1,Dolpa,3.21
8161,1998,2,Dolpa,4.07
8162,1998,3,Dolpa,44.46
8163,1998,4,Dolpa,6.99
8164,1998,5,Dolpa,13.38
8165,1998,6,Dolpa,28.58
8166,1998,7,Dolpa,81.63
8167,1998,8,Dolpa,78.88
8168,1998,9,Dolpa,31.76
8169,1998,10,Dolpa,28.6
8170,1998,11,Dolpa,1.33
8171,1998,12,Dolpa,0.0
8172,1999,1,Dolpa,10.81
8173,1999,2,Dolpa,1.53
8174,1999,3,Dolpa,1.42
8175,1999,4,Dolpa,3.77
8176,1999,5,Dolpa,24.54
8177,1999,6,Dolpa,30.6
8178,1999,7,Dolpa,63.2
8179,1999,8,Dolpa,43.14
8180,1999,9,Dolpa,28.29
8181,1999,10,Dolpa,23.6
8182,1999,11,Dolpa,0.0
8183,1999,12,Dolpa,2.03
8184,2000,1,Dolpa,6.81
8185,2000,2,Dolpa,10.94
8186,2000,3,Dolpa,2.52
8187,2000,4,Dolpa,0.79
8188,2000,5,Dolpa,54.34
8189,2000,6,Dolpa,126.63
8190,2000,7,Dolpa,101.44
8191,2000,8,Dolpa,194.72
8192,2000,9,Dolpa,62.9
8193,2000,10,Dolpa,0.01
8194,2000,11,Dolpa,2.32
8195,2000,12,Dolpa,0.01
8196,2001,1,Dolpa,0.02
8197,2001,2,Dolpa,0.23
8198,2001,3,Dolpa,6.4
8199,2001,4,Dolpa,3.05
8200,2001,5,Dolpa,34.38
8201,2001,6,Dolpa,104.43
8202,2001,7,Dolpa,130.53
8203,2001,8,Dolpa,125.59
8204,2001,9,Dolpa,66.22
8205,2001,10,Dolpa,14.55
8206,2001,11,Dolpa,1.4
8207,2001,12,Dolpa,0.01
8208,2002,1,Dolpa,12.91
8209,2002,2,Dolpa,27.19
8210,2002,3,Dolpa,2.83
8211,2002,4,Dolpa,0.43
8212,2002,5,Dolpa,18.83
8213,2002,6,Dolpa,51.76
8214,2002,7,Dolpa,47.34
8215,2002,8,Dolpa,65.3
8216,2002,9,Dolpa,48.85
8217,2002,10,Dolpa,3.69
8218,2002,11,Dolpa,3.09
8219,2002,12,Dolpa,25.74
8220,2003,1,Dolpa,14.54
8221,2003,2,Dolpa,27.34
8222,2003,3,Dolpa,1.02
8223,2003,4,Dolpa,3.77
8224,2003,5,Dolpa,4.46
8225,2003,6,Dolpa,33.83
8226,2003,7,Dolpa,150.11
8227,2003,8,Dolpa,96.33
8228,2003,9,Dolpa,63.46
8229,2003,10,Dolpa,21.04
8230,2003,11,Dolpa,0.02
8231,2003,12,Dolpa,2.32
8232,2004,1,Dolpa,27.04
8233,2004,2,Dolpa,0.05
8234,2004,3,Dolpa,2.11
8235,2004,4,Dolpa,26.78
8236,2004,5,Dolpa,95.49
8237,2004,6,Dolpa,134.49
8238,2004,7,Dolpa,262.61
8239,2004,8,Dolpa,101.01
8240,2004,9,Dolpa,87.81
8241,2004,10,Dolpa,35.31
8242,2004,11,Dolpa,4.9
8243,2004,12,Dolpa,0.58
8244,2005,1,Dolpa,49.62
8245,2005,2,Dolpa,12.08
8246,2005,3,Dolpa,25.64
8247,2005,4,Dolpa,14.04
8248,2005,5,Dolpa,44.52
8249,2005,6,Dolpa,79.48
8250,2005,7,Dolpa,299.42
8251,2005,8,Dolpa,241.02
8252,2005,9,Dolpa,88.52
8253,2005,10,Dolpa,77.85
8254,2005,11,Dolpa,0.0
8255,2005,12,Dolpa,4.97
8256,2006,1,Dolpa,0.12
8257,2006,2,Dolpa,0.01
8258,2006,3,Dolpa,59.15
8259,2006,4,Dolpa,14.87
8260,2006,5,Dolpa,94.86
8261,2006,6,Dolpa,191.34
8262,2006,7,Dolpa,250.68
8263,2006,8,Dolpa,144.6
8264,2006,9,Dolpa,69.11
8265,2006,10,Dolpa,24.29
8266,2006,11,Dolpa,0.76
8267,2006,12,Dolpa,22.27
8268,2007,1,Dolpa,0.01
8269,2007,2,Dolpa,123.39
8270,2007,3,Dolpa,82.37
8271,2007,4,Dolpa,14.38
8272,2007,5,Dolpa,85.92
8273,2007,6,Dolpa,111.84
8274,2007,7,Dolpa,330.2
8275,2007,8,Dolpa,233.54
8276,2007,9,Dolpa,138.83
8277,2007,10,Dolpa,13.93
8278,2007,11,Dolpa,0.21
8279,2007,12,Dolpa,0.65
8280,2008,1,Dolpa,1.23
8281,2008,2,Dolpa,8.84
8282,2008,3,Dolpa,1.93
8283,2008,4,Dolpa,40.48
8284,2008,5,Dolpa,56.86
8285,2008,6,Dolpa,330.08
8286,2008,7,Dolpa,312.99
8287,2008,8,Dolpa,240.18
8288,2008,9,Dolpa,131.41
8289,2008,10,Dolpa,13.16
8290,2008,11,Dolpa,3.1
8291,2008,12,Dolpa,1.88
8292,2009,1,Dolpa,0.03
8293,2009,2,Dolpa,12.01
8294,2009,3,Dolpa,5.36
8295,2009,4,Dolpa,0.4
8296,2009,5,Dolpa,76.62
8297,2009,6,Dolpa,50.16
8298,2009,7,Dolpa,178.66
8299,2009,8,Dolpa,250.97
8300,2009,9,Dolpa,111.75
8301,2009,10,Dolpa,98.64
8302,2009,11,Dolpa,9.49
8303,2009,12,Dolpa,4.23
8304,2010,1,Dolpa,4.44
8305,2010,2,Dolpa,17.99
8306,2010,3,Dolpa,1.08
8307,2010,4,Dolpa,2.92
8308,2010,5,Dolpa,29.41
8309,2010,6,Dolpa,55.99
8310,2010,7,Dolpa,265.98
8311,2010,8,Dolpa,204.71
8312,2010,9,Dolpa,237.79
8313,2010,10,Dolpa,13.79
8314,2010,11,Dolpa,34.96
8315,2010,12,Dolpa,13.28
8316,2011,1,Dolpa,21.36
8317,2011,2,Dolpa,25.39
8318,2011,3,Dolpa,6.34
8319,2011,4,Dolpa,13.85
8320,2011,5,Dolpa,80.01
8321,2011,6,Dolpa,237.86
8322,2011,7,Dolpa,271.22
8323,2011,8,Dolpa,275.49
8324,2011,9,Dolpa,123.51
8325,2011,10,Dolpa,3.21
8326,2011,11,Dolpa,0.0
8327,2011,12,Dolpa,5.81
8328,2012,1,Dolpa,43.15
8329,2012,2,Dolpa,10.27
8330,2012,3,Dolpa,10.87
8331,2012,4,Dolpa,28.84
8332,2012,5,Dolpa,11.59
8333,2012,6,Dolpa,41.85
8334,2012,7,Dolpa,234.59
8335,2012,8,Dolpa,239.93
8336,2012,9,Dolpa,224.64
8337,2012,10,Dolpa,15.05
8338,2012,11,Dolpa,3.15
8339,2012,12,Dolpa,1.68
8340,2013,1,Dolpa,70.8
8341,2013,2,Dolpa,83.04
8342,2013,3,Dolpa,10.48
8343,2013,4,Dolpa,13.37
8344,2013,5,Dolpa,50.64
8345,2013,6,Dolpa,311.83
8346,2013,7,Dolpa,329.17
8347,2013,8,Dolpa,210.97
8348,2013,9,Dolpa,99.3
8349,2013,10,Dolpa,92.41
8350,2013,11,Dolpa,8.13
8351,2013,12,Dolpa,6.17
8352,2014,1,Dolpa,21.82
8353,2014,2,Dolpa,34.67
8354,2014,3,Dolpa,15.81
8355,2014,4,Dolpa,15.86
8356,2014,5,Dolpa,48.22
8357,2014,6,Dolpa,95.59
8358,2014,7,Dolpa,276.01
8359,2014,8,Dolpa,207.54
8360,2014,9,Dolpa,129.43
8361,2014,10,Dolpa,61.75
8362,2014,11,Dolpa,0.0
8363,2014,12,Dolpa,36.53
8364,2015,1,Dolpa,56.75
8365,2015,2,Dolpa,33.98
8366,2015,3,Dolpa,133.55
8367,2015,4,Dolpa,65.9
8368,2015,5,Dolpa,35.5
8369,2015,6,Dolpa,176.23
8370,2015,7,Dolpa,208.6
8371,2015,8,Dolpa,174.45
8372,2015,9,Dolpa,35.05
8373,2015,10,Dolpa,29.6
8374,2015,11,Dolpa,2.13
8375,2015,12,Dolpa,0.09
8376,2016,1,Dolpa,14.73
8377,2016,2,Dolpa,21.02
8378,2016,3,Dolpa,36.91
8379,2016,4,Dolpa,8.3
8380,2016,5,Dolpa,74.62
8381,2016,6,Dolpa,109.73
8382,2016,7,Dolpa,295.38
8383,2016,8,Dolpa,160.64
8384,2016,9,Dolpa,89.58
8385,2016,10,Dolpa,37.07
8386,2016,11,Dolpa,0.0
8387,2016,12,Dolpa,0.0
8388,2017,1,Dolpa,21.14
8389,2017,2,Dolpa,0.86
8390,2017,3,Dolpa,53.86
8391,2017,4,Dolpa,54.1
8392,2017,5,Dolpa,68.09
8393,2017,6,Dolpa,95.32
8394,2017,7,Dolpa,293.74
8395,2017,8,Dolpa,215.98
8396,2017,9,Dolpa,107.19
8397,2017,10,Dolpa,8.27
8398,2017,11,Dolpa,1.23
8399,2017,12,Dolpa,3.56
8400,2018,1,Dolpa,0.08
8401,2018,2,Dolpa,0.45
8402,2018,3,Dolpa,0.79
8403,2018,4,Dolpa,2.75
8404,2018,5,Dolpa,2.96
8405,2018,6,Dolpa,2.61
8406,2018,7,Dolpa,11.98
8407,2018,8,Dolpa,8.97
8408,2018,9,Dolpa,1.99
8409,2018,10,Dolpa,0.02
8410,2018,11,Dolpa,0.19
8411,2018,12,Dolpa,0.02
8412,2019,1,Dolpa,1.03
8413,2019,2,Dolpa,4.51
8414,2019,3,Dolpa,0.76
8415,2019,4,Dolpa,1.96
8416,2019,5,Dolpa,1.31
8417,2019,6,Dolpa,4.2
8418,2019,7,Dolpa,7.71
8419,2019,8,Dolpa,4.61
8420,2019,9,Dolpa,6.14
8421,2019,10,Dolpa,0.53
8422,2019,11,Dolpa,0.48
8423,2019,12,Dolpa,1.78
8424,1981,1,Doti,66.85
8425,1981,2,Doti,9.96
8426,1981,3,Doti,37.94
8427,1981,4,Doti,21.8
8428,1981,5,Doti,106.34
8429,1981,6,Doti,132.3
8430,1981,7,Doti,310.64
8431,1981,8,Doti,172.97
8432,1981,9,Doti,87.76
8433,1981,10,Doti,4.82
8434,1981,11,Doti,38.6
8435,1981,12,Doti,5.72
8436,1982,1,Doti,61.38
8437,1982,2,Doti,33.02
8438,1982,3,Doti,38.58
8439,1982,4,Doti,25.71
8440,1982,5,Doti,40.28
8441,1982,6,Doti,63.24
8442,1982,7,Doti,106.14
8443,1982,8,Doti,235.6
8444,1982,9,Doti,75.44
8445,1982,10,Doti,4.56
8446,1982,11,Doti,3.52
8447,1982,12,Doti,15.87
8448,1983,1,Doti,10.3
8449,1983,2,Doti,6.36
8450,1983,3,Doti,14.41
8451,1983,4,Doti,37.58
8452,1983,5,Doti,14.38
8453,1983,6,Doti,82.04
8454,1983,7,Doti,92.68
8455,1983,8,Doti,157.5
8456,1983,9,Doti,301.46
8457,1983,10,Doti,71.61
8458,1983,11,Doti,0.0
8459,1983,12,Doti,18.69
8460,1984,1,Doti,6.86
8461,1984,2,Doti,49.12
8462,1984,3,Doti,5.78
8463,1984,4,Doti,11.78
8464,1984,5,Doti,16.12
8465,1984,6,Doti,158.01
8466,1984,7,Doti,133.82
8467,1984,8,Doti,167.86
8468,1984,9,Doti,63.96
8469,1984,10,Doti,11.18
8470,1984,11,Doti,0.89
8471,1984,12,Doti,11.33
8472,1985,1,Doti,33.68
8473,1985,2,Doti,1.09
8474,1985,3,Doti,1.06
8475,1985,4,Doti,22.68
8476,1985,5,Doti,41.68
8477,1985,6,Doti,134.7
8478,1985,7,Doti,142.24
8479,1985,8,Doti,144.88
8480,1985,9,Doti,157.2
8481,1985,10,Doti,94.0
8482,1985,11,Doti,0.0
8483,1985,12,Doti,24.14
8484,1986,1,Doti,3.31
8485,1986,2,Doti,22.42
8486,1986,3,Doti,14.38
8487,1986,4,Doti,19.6
8488,1986,5,Doti,26.33
8489,1986,6,Doti,93.32
8490,1986,7,Doti,294.75
8491,1986,8,Doti,158.38
8492,1986,9,Doti,96.79
8493,1986,10,Doti,14.3
8494,1986,11,Doti,0.41
8495,1986,12,Doti,29.0
8496,1987,1,Doti,9.25
8497,1987,2,Doti,10.0
8498,1987,3,Doti,4.15
8499,1987,4,Doti,9.91
8500,1987,5,Doti,58.01
8501,1987,6,Doti,16.1
8502,1987,7,Doti,79.6
8503,1987,8,Doti,140.72
8504,1987,9,Doti,30.3
8505,1987,10,Doti,29.72
8506,1987,11,Doti,0.0
8507,1987,12,Doti,15.97
8508,1988,1,Doti,78.64
8509,1988,2,Doti,22.26
8510,1988,3,Doti,35.2
8511,1988,4,Doti,15.0
8512,1988,5,Doti,27.73
8513,1988,6,Doti,71.98
8514,1988,7,Doti,347.46
8515,1988,8,Doti,211.79
8516,1988,9,Doti,18.88
8517,1988,10,Doti,1.53
8518,1988,11,Doti,0.0
8519,1988,12,Doti,12.56
8520,1989,1,Doti,33.36
8521,1989,2,Doti,5.84
8522,1989,3,Doti,15.3
8523,1989,4,Doti,2.28
8524,1989,5,Doti,14.5
8525,1989,6,Doti,62.24
8526,1989,7,Doti,143.51
8527,1989,8,Doti,80.43
8528,1989,9,Doti,42.95
8529,1989,10,Doti,2.03
8530,1989,11,Doti,4.49
8531,1989,12,Doti,7.13
8532,1990,1,Doti,1.94
8533,1990,2,Doti,61.1
8534,1990,3,Doti,12.97
8535,1990,4,Doti,17.88
8536,1990,5,Doti,36.94
8537,1990,6,Doti,50.7
8538,1990,7,Doti,206.34
8539,1990,8,Doti,143.08
8540,1990,9,Doti,81.01
8541,1990,10,Doti,2.33
8542,1990,11,Doti,0.86
8543,1990,12,Doti,13.62
8544,1991,1,Doti,2.75
8545,1991,2,Doti,10.36
8546,1991,3,Doti,43.98
8547,1991,4,Doti,5.46
8548,1991,5,Doti,14.82
8549,1991,6,Doti,48.9
8550,1991,7,Doti,51.57
8551,1991,8,Doti,150.76
8552,1991,9,Doti,48.52
8553,1991,10,Doti,0.05
8554,1991,11,Doti,2.71
8555,1991,12,Doti,31.24
8556,1992,1,Doti,4.57
8557,1992,2,Doti,2.24
8558,1992,3,Doti,3.54
8559,1992,4,Doti,0.76
8560,1992,5,Doti,19.06
8561,1992,6,Doti,87.28
8562,1992,7,Doti,120.1
8563,1992,8,Doti,131.1
8564,1992,9,Doti,73.04
8565,1992,10,Doti,44.13
8566,1992,11,Doti,3.06
8567,1992,12,Doti,0.0
8568,1993,1,Doti,12.8
8569,1993,2,Doti,9.97
8570,1993,3,Doti,35.2
8571,1993,4,Doti,3.01
8572,1993,5,Doti,21.41
8573,1993,6,Doti,120.7
8574,1993,7,Doti,73.2
8575,1993,8,Doti,42.65
8576,1993,9,Doti,55.38
8577,1993,10,Doti,0.02
8578,1993,11,Doti,0.0
8579,1993,12,Doti,0.08
8580,1994,1,Doti,17.16
8581,1994,2,Doti,25.74
8582,1994,3,Doti,1.02
8583,1994,4,Doti,9.07
8584,1994,5,Doti,11.34
8585,1994,6,Doti,31.76
8586,1994,7,Doti,136.76
8587,1994,8,Doti,153.19
8588,1994,9,Doti,43.46
8589,1994,10,Doti,0.26
8590,1994,11,Doti,0.0
8591,1994,12,Doti,0.03
8592,1995,1,Doti,24.41
8593,1995,2,Doti,26.49
8594,1995,3,Doti,10.5
8595,1995,4,Doti,2.9
8596,1995,5,Doti,0.86
8597,1995,6,Doti,67.77
8598,1995,7,Doti,88.46
8599,1995,8,Doti,156.36
8600,1995,9,Doti,47.1
8601,1995,10,Doti,2.8
8602,1995,11,Doti,14.81
8603,1995,12,Doti,2.01
8604,1996,1,Doti,27.59
8605,1996,2,Doti,51.13
8606,1996,3,Doti,15.46
8607,1996,4,Doti,19.6
8608,1996,5,Doti,8.78
8609,1996,6,Doti,62.68
8610,1996,7,Doti,101.0
8611,1996,8,Doti,135.83
8612,1996,9,Doti,103.12
8613,1996,10,Doti,19.77
8614,1996,11,Doti,0.0
8615,1996,12,Doti,0.0
8616,1997,1,Doti,7.15
8617,1997,2,Doti,0.42
8618,1997,3,Doti,3.11
8619,1997,4,Doti,33.66
8620,1997,5,Doti,8.0
8621,1997,6,Doti,69.7
8622,1997,7,Doti,116.88
8623,1997,8,Doti,68.7
8624,1997,9,Doti,26.53
8625,1997,10,Doti,7.3
8626,1997,11,Doti,5.12
8627,1997,12,Doti,58.9
8628,1998,1,Doti,4.1
8629,1998,2,Doti,5.54
8630,1998,3,Doti,54.34
8631,1998,4,Doti,7.79
8632,1998,5,Doti,23.52
8633,1998,6,Doti,23.89
8634,1998,7,Doti,123.78
8635,1998,8,Doti,101.16
8636,1998,9,Doti,37.11
8637,1998,10,Doti,50.2
8638,1998,11,Doti,3.04
8639,1998,12,Doti,0.0
8640,1999,1,Doti,14.4
8641,1999,2,Doti,2.48
8642,1999,3,Doti,1.62
8643,1999,4,Doti,2.33
8644,1999,5,Doti,18.59
8645,1999,6,Doti,36.03
8646,1999,7,Doti,123.16
8647,1999,8,Doti,53.97
8648,1999,9,Doti,43.14
8649,1999,10,Doti,23.88
8650,1999,11,Doti,0.0
8651,1999,12,Doti,4.65
8652,2000,1,Doti,11.17
8653,2000,2,Doti,13.2
8654,2000,3,Doti,4.44
8655,2000,4,Doti,5.73
8656,2000,5,Doti,87.52
8657,2000,6,Doti,172.68
8658,2000,7,Doti,132.74
8659,2000,8,Doti,246.76
8660,2000,9,Doti,42.06
8661,2000,10,Doti,0.01
8662,2000,11,Doti,0.52
8663,2000,12,Doti,0.1
8664,2001,1,Doti,1.04
8665,2001,2,Doti,1.98
8666,2001,3,Doti,5.98
8667,2001,4,Doti,9.51
8668,2001,5,Doti,36.38
8669,2001,6,Doti,150.89
8670,2001,7,Doti,232.08
8671,2001,8,Doti,109.32
8672,2001,9,Doti,36.88
8673,2001,10,Doti,16.12
8674,2001,11,Doti,1.88
8675,2001,12,Doti,0.44
8676,2002,1,Doti,24.01
8677,2002,2,Doti,42.98
8678,2002,3,Doti,1.42
8679,2002,4,Doti,5.03
8680,2002,5,Doti,19.32
8681,2002,6,Doti,56.64
8682,2002,7,Doti,31.8
8683,2002,8,Doti,134.52
8684,2002,9,Doti,89.99
8685,2002,10,Doti,2.82
8686,2002,11,Doti,3.3
8687,2002,12,Doti,35.44
8688,2003,1,Doti,22.96
8689,2003,2,Doti,24.94
8690,2003,3,Doti,3.01
8691,2003,4,Doti,3.07
8692,2003,5,Doti,4.52
8693,2003,6,Doti,35.06
8694,2003,7,Doti,243.58
8695,2003,8,Doti,163.74
8696,2003,9,Doti,137.5
8697,2003,10,Doti,32.81
8698,2003,11,Doti,0.3
8699,2003,12,Doti,7.04
8700,2004,1,Doti,29.8
8701,2004,2,Doti,0.06
8702,2004,3,Doti,0.2
8703,2004,4,Doti,36.1
8704,2004,5,Doti,97.16
8705,2004,6,Doti,132.14
8706,2004,7,Doti,292.14
8707,2004,8,Doti,133.92
8708,2004,9,Doti,82.1
8709,2004,10,Doti,38.76
8710,2004,11,Doti,0.68
8711,2004,12,Doti,0.9
8712,2005,1,Doti,52.34
8713,2005,2,Doti,21.12
8714,2005,3,Doti,34.61
8715,2005,4,Doti,20.92
8716,2005,5,Doti,48.45
8717,2005,6,Doti,98.66
8718,2005,7,Doti,333.94
8719,2005,8,Doti,273.21
8720,2005,9,Doti,164.48
8721,2005,10,Doti,23.88
8722,2005,11,Doti,0.0
8723,2005,12,Doti,6.34
8724,2006,1,Doti,0.71
8725,2006,2,Doti,0.06
8726,2006,3,Doti,69.55
8727,2006,4,Doti,15.17
8728,2006,5,Doti,77.31
8729,2006,6,Doti,179.66
8730,2006,7,Doti,311.29
8731,2006,8,Doti,163.13
